Short Desc,Type,Material,Size,Length,Trade Size:,Type:,Conduit Type:,Length:,Style:,Color:,Trade Size:.1,Jacket:,Core:,Weight:,Temperature:,End Type:,Ground:,Throat:,Angle:,Outside Diameter:,Application:,Package:,SKU,Manufacturer Series,PDF Link
"Liquidtight Flexible Metallic Conduit, 1-1/4 in. Trade, Galvanized Steel, Ground, UA, PVC",LFMC,PVC Coated Galvanized Steel,1.25,50 ft.,1-1/4 in.,0,Liquidtight Flexible Metallic,50 ft.,UA,Black,1-1/4 in.,PVC,Galvanized Steel,0,-40 C to 80 C,0,Ground,0.0,0.0,1.63 to 1.66 in.,0.0,0.0,71411834041.0,,
"Liquidtight Flexible Conduit, 3 in., Ground, LA/LT",LFMC,PVC Coated Galvanized Steel,3.0,25 ft.,3 in.,0,Liquidtight Flexible Conduit,25 ft.,LA/LT,Black,3 in.,PVC,Hot Dip Galvanized Steel,0,-30 to 80 deg C,0,Ground,0.0,0.0,3.46 to 3.5 in.,0.0,0.0,78267398953.0,,https://www.electriflex.com/wp-content/uploads/2016/06/Type-LT-Liquidtight-Steel-Conduit-_-Electri-Flex.pdf
"Sealtite    Liquidtight Flexible Metal Conduit, 1-1/2 in., Galvanized Steel, UL Style, Ground, PVC",LFMC,PVC Coated Galvanized Steel,1.5,150 ft.,1-1/2 in.,0,Liquidtight Flexible Metallic,150 ft.,UA,Black,1-1/2 in.,PVC,Galvanized Steel,0,-40 to 80 deg C,0,Ground,0.0,0.0,1.9 in.,0.0,0.0,71411834054.0,,
"Thomas and Betts®    Liquidtight Flexible Nonmetallic Conduit, 1 in. Trade, 1.302 in. OD x 100-ft Length, PVC",LFNC,PVC,1.0,100 ft.,1 in.,0,Liquidtight Flexible Nonmetallic,100 ft.,Ty-B Conduit,Gray,1 in.,PVC,0,0,-40 C to 75 C,0,None,0.0,0.0,0,0.0,0.0,3448123328.0,Carflex,
"Thomas and Betts®    Liquidtight Flexible Nonmetallic Conduit, 1 in. Trade, 1.302 in. OD x 500-ft Length, PVC",LFNC,PVC,1.0,500 ft.,1 in.,0,Liquidtight Flexible Nonmetallic,500 ft.,Ty-B Conduit,Gray,1 in.,PVC,0,0,-40 C to 75 C,0,None,0.0,0.0,0,0.0,0.0,3448123330.0,Carflex Carflex,
"Liquidtight Flexible Conduit, 2 in., Plated Steel, LT",LFMC,PVC Coated Galvanized Steel,2.0,50 ft.,2 in.,0,Liquidtight Flexible Conduit,50 ft.,LT,Black,2 in.,PVC,Plated Steel,0,-20 to 80 deg C,0,0,0.0,0.0,2.34 to 2.375 in.,0.0,0.0,78267398954.0,,https://www.electriflex.com/wp-content/uploads/2016/06/Type-LT-Liquidtight-Steel-Conduit-_-Electri-Flex.pdf
"Liquidtight Flexible Nonmetallic, Orange, 3/4 in.",LFNC,PVC,0.75,175 ft.,,,,,,,,,,,,,,,,,,,,,
"Ultratite    Flexible Conduit, 1 in., PVC, Ty B NM, PVC, -30 to 80 deg C, 1.315 in. OD, 400-ft L",LFNC,PVC,1.0,400 ft.,,,,,,,,,,,,,,,,,,,,,
"Liquatite    Flexible Conduit, 3/4 in., PVC, NM, -20 to 80 deg C, 500-ft L",LFNC,PVC,0.75,500 ft.,,,,,,,,,,,,,,,,,,,,,
"Thomas and Betts®    Liquidtight Flexible Nonmetallic Conduit, 1 in. Trade, 1.302 in. OD x 100-ft Length, PVC",LFNC,PVC,1.0,100 ft.,,,,,,,,,,,,,,,,,,,,,
